# Requested Sampling Rate (Hz):,1000
# Actual Sampling Rate (Hz):,998.252
# Requested Duration (s):,5.0
# Actual Duration (s):,5.048
# REST Calibration:,831.4595862068991,832.6049655172403,833.6698965517227
# MAX Calibration:,875.0000,896.0000,903.0000
# Normalization: MVC-based  (x_norm = (x - REST) / (MAX - REST))
sample_idx,EMG1,EMG2,EMG3
0,-0.033523,0.006231,-0.009662
1,0.012412,-0.009543,-0.009662
2,-0.033523,-0.009543,-0.009662
3,0.012412,-0.009543,0.004761
4,0.081313,0.022005,-0.009662
5,0.012412,0.006231,-0.009662
6,0.012412,0.006231,-0.009662
7,0.035379,0.053554,0.004761
8,0.012412,0.148198,0.004761
9,0.012412,0.148198,0.004761
10,0.058346,0.132424,0.004761
11,0.012412,0.227069,0.004761
12,0.012412,0.211295,0.019185
13,0.012412,0.179746,0.019185
14,-0.033523,0.305939,0.004761
15,-0.079457,0.290165,0.004761
16,-0.079457,0.274391,-0.009662
17,-0.033523,0.258617,-0.009662
18,0.012412,0.100876,0.033609
19,0.035379,-0.072639,0.004761
20,0.035379,-0.246154,-0.024086
21,0.081313,-0.356573,-0.009662
22,0.127248,-0.277703,0.004761
23,0.242083,-0.119962,0.019185
24,0.356919,-0.183058,0.004761
25,0.173182,-0.198832,-0.024086
26,0.10428,-0.277703,-0.009662
27,0.127248,-0.246154,-0.009662
28,0.012412,-0.325025,0.004761
29,-0.194293,-0.356573,0.004761
30,-0.102424,-0.246154,0.004761
31,0.035379,-0.119962,-0.024086
32,0.081313,-0.009543,-0.009662
33,0.058346,0.085102,-0.024086
34,-0.079457,0.132424,-0.024086
35,-0.033523,0.227069,-0.009662
36,0.012412,0.321713,0.033609
37,0.058346,0.305939,0.004761
38,-0.079457,0.195521,0.019185
39,-0.125391,0.03778,-0.03851
40,-0.05649,-0.088413,-0.03851
41,-0.171326,-0.15151,-0.009662
42,-0.125391,-0.167284,0.004761
43,-0.309129,-0.135736,-0.009662
44,-0.21726,-0.041091,-0.009662
45,-0.010555,0.053554,0.004761
46,-0.010555,0.132424,0.004761
47,-0.033523,0.195521,0.004761
48,-0.079457,0.148198,0.004761
49,-0.125391,0.163972,0.019185
50,-0.079457,0.211295,0.019185
51,0.012412,0.148198,-0.009662
52,0.081313,0.022005,-0.024086
53,0.425821,0.03778,-0.009662
54,0.701427,0.006231,-0.009662
55,0.724394,-0.041091,0.004761
56,0.494722,-0.198832,-0.009662
57,0.288018,-0.246154,-0.009662
58,0.127248,-0.214606,-0.024086
59,-0.148358,-0.214606,-0.009662
60,-0.332096,-0.183058,-0.03851
61,-0.355063,-0.009543,0.004761
62,-0.194293,-0.009543,0.033609
63,-0.125391,-0.088413,0.062456
64,-0.079457,-0.15151,0.062456
65,-0.148358,-0.15151,0.019185
66,-0.010555,-0.183058,-0.03851
67,0.127248,-0.104187,-0.052934
68,0.288018,0.022005,-0.052934
69,0.288018,0.132424,-0.03851
70,0.219116,0.242843,-0.009662
71,-0.102424,0.258617,0.019185
72,-0.171326,0.179746,-0.009662
73,-0.240227,-0.009543,-0.024086
74,-0.309129,-0.025317,-0.009662
75,-0.171326,-0.009543,0.004761
76,-0.102424,-0.009543,-0.009662
77,-0.125391,0.022005,0.033609
78,0.081313,0.132424,0.033609
79,0.173182,0.195521,0.033609
80,0.150215,0.11665,0.019185
81,0.012412,0.100876,0.019185
82,-0.010555,-0.009543,0.019185
83,0.012412,-0.088413,0.019185
84,0.081313,-0.056865,-0.03851
85,-0.033523,0.053554,-0.052934
86,-0.102424,0.069328,-0.009662
87,-0.148358,0.100876,0.019185
88,0.127248,0.163972,0.033609
89,0.196149,0.085102,0.019185
90,0.540657,0.053554,-0.024086
91,0.747361,0.053554,-0.009662
92,0.586591,0.227069,-0.009662
93,0.10428,0.085102,-0.009662
94,-0.240227,-0.088413,-0.009662
95,-0.561767,-0.15151,0.019185
96,-0.791439,-0.309251,-0.009662
97,-1.27375,-0.261928,-0.03851
98,-1.021111,0.100876,0.004761
99,-0.676603,0.179746,0.019185
100,-0.355063,0.148198,-0.024086
101,-0.05649,0.163972,-0.024086
102,0.494722,0.085102,0.004761
103,0.862197,-0.041091,0.033609
104,1.091869,-0.183058,0.033609
105,0.862197,-0.309251,0.004761
106,0.586591,-0.403895,-0.024086
107,0.448788,-0.388121,-0.009662
108,0.310985,-0.15151,0.019185
109,-0.171326,-0.119962,-0.009662
110,-0.263194,-0.104187,0.004761
111,0.058346,-0.009543,-0.03851
112,0.150215,0.053554,-0.009662
113,0.10428,0.11665,0.004761
114,-0.079457,0.163972,-0.024086
115,-0.21726,0.274391,-0.024086
116,-0.309129,0.479454,-0.024086
117,-0.194293,0.511003,0.019185
118,-0.033523,0.637196,0.033609
119,-0.125391,0.574099,0.004761
120,-0.21726,0.148198,0.004761
121,-0.05649,-0.072639,-0.03851
122,-0.05649,-0.119962,-0.009662
123,-0.102424,-0.372347,0.004761
124,0.012412,-0.514314,-0.009662
125,0.081313,-0.435444,-0.009662
126,0.127248,-0.246154,-0.052934
127,0.173182,-0.167284,-0.052934
128,0.081313,-0.167284,-0.067357
129,-0.194293,-0.009543,-0.067357
130,-0.102424,0.132424,-0.03851
131,0.012412,0.148198,-0.009662
132,-0.033523,0.305939,0.004761
133,0.402854,0.258617,0.033609
134,0.793295,0.006231,0.048033
135,0.586591,-0.293477,0.062456
136,0.448788,-0.466992,0.033609
137,-0.033523,-0.593185,0.019185
138,-0.630669,-0.482766,0.019185
139,-1.067045,-0.214606,0.033609
140,-1.112979,-0.009543,0.033609
141,-0.791439,0.242843,0.004761
142,-0.561767,0.321713,-0.067357
143,-0.607702,0.38481,-0.081781
144,-0.171326,0.526777,-0.052934
145,0.379886,0.46368,-0.03851
