# Requested Sampling Rate (Hz):,1000
# Actual Sampling Rate (Hz):,999.068
# Requested Duration (s):,5.0
# Actual Duration (s):,5.043
# REST Calibration:,831.4595862068991,832.6049655172403,833.6698965517227
# MAX Calibration:,875.0000,896.0000,903.0000
# Normalization: MVC-based  (x_norm = (x - REST) / (MAX - REST))
sample_idx,EMG1,EMG2,EMG3
0,0.012412,0.006231,0.004761
1,-0.033523,0.006231,0.019185
2,0.012412,-0.009543,0.004761
3,-0.033523,-0.009543,0.004761
4,0.035379,-0.025317,-0.009662
5,-0.010555,-0.025317,-0.009662
6,-0.033523,-0.025317,-0.009662
7,-0.033523,-0.041091,-0.009662
8,-0.010555,-0.009543,-0.009662
9,0.012412,0.006231,0.004761
10,0.058346,0.006231,0.004761
11,0.058346,-0.009543,0.004761
12,0.012412,0.03778,0.004761
13,-0.079457,0.006231,0.004761
14,-0.010555,-0.009543,0.004761
15,0.012412,0.022005,-0.009662
16,0.081313,0.053554,0.004761
17,0.058346,0.022005,0.004761
18,0.035379,0.022005,0.033609
19,-0.010555,-0.041091,0.019185
20,0.012412,-0.072639,0.004761
21,-0.05649,-0.072639,-0.009662
22,-0.010555,-0.072639,0.019185
23,0.012412,-0.025317,0.004761
24,0.012412,-0.041091,-0.024086
25,-0.05649,-0.041091,-0.024086
26,0.035379,-0.041091,-0.03851
27,0.012412,-0.009543,-0.03851
28,0.012412,0.022005,-0.03851
29,0.012412,0.006231,-0.009662
30,-0.079457,0.006231,0.004761
31,-0.010555,0.022005,0.019185
32,-0.033523,0.022005,0.004761
33,-0.033523,-0.025317,-0.009662
34,-0.033523,-0.009543,0.004761
35,-0.010555,-0.009543,-0.024086
36,-0.010555,-0.009543,-0.03851
37,0.012412,-0.009543,-0.024086
38,0.012412,-0.009543,0.004761
39,-0.033523,0.006231,0.019185
40,-0.010555,0.006231,0.019185
41,0.012412,-0.009543,0.033609
42,-0.010555,-0.041091,0.033609
43,0.035379,0.006231,0.019185
44,0.035379,-0.009543,-0.009662
45,0.058346,-0.025317,0.004761
46,0.058346,-0.009543,0.033609
47,0.035379,-0.025317,0.019185
48,0.012412,0.006231,-0.009662
49,0.035379,-0.025317,-0.024086
50,-0.010555,-0.009543,-0.009662
51,-0.05649,-0.009543,-0.009662
52,-0.010555,-0.009543,-0.009662
53,-0.010555,-0.025317,-0.024086
54,0.012412,-0.025317,-0.009662
55,-0.010555,-0.041091,-0.009662
56,-0.033523,-0.009543,-0.009662
57,0.012412,0.006231,-0.009662
58,-0.010555,-0.009543,-0.009662
59,-0.05649,-0.025317,-0.009662
60,-0.010555,-0.009543,-0.009662
61,-0.010555,-0.009543,0.019185
62,0.012412,0.006231,-0.009662
63,-0.05649,-0.025317,-0.024086
64,0.012412,-0.009543,-0.009662
65,0.035379,-0.009543,0.004761
66,-0.010555,0.006231,0.004761
67,0.012412,0.006231,0.004761
68,0.012412,-0.009543,0.019185
69,-0.033523,-0.009543,0.033609
70,0.035379,-0.009543,0.033609
71,-0.010555,0.006231,0.019185
72,-0.010555,0.006231,0.033609
73,0.012412,-0.009543,0.004761
74,-0.010555,-0.009543,-0.009662
75,0.012412,-0.025317,-0.052934
76,0.012412,-0.025317,-0.052934
77,0.012412,-0.025317,-0.03851
78,0.012412,-0.025317,-0.03851
79,0.035379,-0.009543,-0.03851
80,0.012412,-0.025317,-0.009662
81,0.035379,-0.009543,0.004761
82,-0.010555,-0.009543,-0.009662
83,-0.033523,0.006231,0.048033
84,0.012412,0.022005,-0.024086
85,-0.010555,0.022005,0.019185
86,-0.05649,0.03778,0.019185
87,-0.033523,-0.009543,0.019185
88,0.012412,-0.009543,0.033609
89,0.012412,-0.025317,0.048033
90,-0.033523,-0.041091,0.048033
91,0.035379,-0.025317,0.033609
92,0.012412,-0.025317,0.033609
93,-0.033523,-0.025317,0.004761
94,-0.033523,-0.025317,-0.024086
95,-0.033523,-0.041091,-0.03851
96,0.012412,-0.041091,-0.052934
97,-0.010555,-0.041091,-0.03851
98,0.012412,-0.009543,-0.024086
99,0.035379,0.022005,-0.03851
100,0.035379,0.022005,0.004761
101,-0.010555,0.022005,0.033609
102,0.012412,0.03778,0.033609
103,0.035379,-0.009543,0.019185
104,-0.010555,-0.025317,0.004761
105,0.012412,-0.041091,-0.009662
106,-0.033523,-0.056865,-0.024086
107,-0.010555,-0.041091,0.004761
108,-0.010555,-0.025317,0.004761
109,-0.010555,-0.009543,0.048033
110,0.012412,-0.025317,0.019185
111,0.012412,-0.041091,0.004761
112,-0.010555,-0.041091,-0.03851
113,-0.010555,-0.041091,-0.03851
114,-0.033523,-0.009543,-0.03851
115,-0.033523,-0.009543,-0.009662
116,-0.05649,-0.009543,-0.009662
117,-0.033523,-0.009543,0.019185
118,-0.010555,0.03778,0.033609
119,-0.010555,0.03778,0.019185
120,-0.010555,0.006231,0.004761
121,0.012412,0.022005,-0.009662
122,0.012412,0.022005,0.048033
123,0.058346,-0.009543,0.019185
124,0.012412,-0.009543,0.062456
125,0.012412,-0.056865,0.091304
126,0.058346,-0.009543,0.091304
127,0.081313,0.006231,0.048033
128,0.012412,-0.025317,0.033609
129,-0.010555,-0.041091,-0.03851
130,0.012412,-0.056865,-0.096205
131,-0.033523,-0.072639,-0.139476
132,-0.05649,-0.056865,-0.125052
133,0.012412,-0.025317,-0.096205
134,0.012412,-0.041091,-0.067357
135,-0.010555,-0.025317,-0.024086
136,0.012412,-0.009543,-0.024086
137,0.012412,0.022005,-0.024086
138,0.012412,0.022005,-0.009662
139,0.035379,0.006231,0.033609
140,-0.010555,0.022005,0.019185
141,-0.010555,-0.025317,0.033609
142,-0.033523,-0.025317,0.004761
143,-0.010555,-0.041091,0.019185
144,-0.033523,-0.025317,-0.009662
145,0.012412,-0.025317,0.048033
146,0.012412,-0.009543,0.004761
147,-0.033523,0.006231,0.033609
148,0.012412,-0.009543,0.048033
149,0.058346,0.006231,0.062456
150,-0.033523,0.006231,0.048033
151,-0.010555,-0.009543,0.033609
152,-0.010555,-0.009543,-0.009662
153,0.035379,-0.025317,-0.03851
154,0.035379,-0.025317,-0.067357
155,-0.010555,-0.041091,-0.052934
156,-0.010555,-0.041091,-0.024086
157,0.035379,-0.041091,-0.024086
158,-0.010555,-0.009543,-0.009662
159,0.012412,-0.009543,-0.009662
160,0.035379,-0.025317,-0.009662
161,0.058346,-0.009543,0.019185
162,0.012412,-0.009543,0.004761
163,-0.010555,0.006231,0.004761
164,0.035379,-0.009543,0.004761
165,-0.010555,-0.009543,-0.009662
166,-0.010555,-0.009543,0.033609
167,-0.033523,0.006231,0.062456
168,0.035379,0.022005,0.062456
169,0.035379,0.006231,0.033609
170,0.012412,-0.009543,0.033609
171,-0.079457,-0.025317,0.019185
172,-0.010555,0.006231,0.019185
173,-0.010555,0.022005,0.033609
174,-0.033523,-0.009543,-0.024086
175,-0.033523,-0.025317,-0.052934
176,-0.033523,-0.041091,-0.067357
177,-0.05649,-0.056865,-0.096205
178,-0.010555,-0.041091,-0.081781
179,-0.033523,-0.025317,-0.03851
180,-0.010555,-0.009543,0.004761
181,-0.010555,0.006231,0.019185
182,0.012412,-0.009543,0.019185
183,-0.010555,-0.009543,0.019185
184,0.035379,-0.025317,0.048033
185,0.058346,-0.009543,0.033609
186,0.035379,0.022005,0.048033
187,0.058346,0.022005,0.062456
188,0.058346,0.03778,0.105728
189,-0.010555,0.006231,0.07688
190,0.012412,0.006231,0.048033
191,0.012412,-0.009543,0.019185
192,-0.033523,-0.041091,-0.081781
193,-0.010555,-0.056865,-0.081781
194,-0.033523,-0.056865,-0.110629
195,-0.033523,-0.056865,-0.139476
196,-0.033523,-0.056865,-0.110629
197,-0.010555,-0.025317,-0.067357
198,-0.05649,-0.025317,-0.024086
199,-0.010555,-0.025317,0.033609
200,-0.033523,-0.009543,0.048033
201,-0.033523,-0.009543,0.048033
202,0.035379,0.022005,0.091304
203,0.035379,0.053554,0.134575
204,0.058346,0.053554,0.163423
205,0.081313,0.03778,0.120151
206,0.058346,0.022005,0.062456
207,0.035379,-0.009543,0.004761
208,-0.05649,-0.025317,-0.024086
209,-0.079457,-0.056865,-0.096205
210,-0.05649,-0.088413,-0.139476
211,-0.033523,-0.088413,-0.1539
212,-0.033523,-0.056865,-0.125052
213,0.035379,-0.009543,-0.081781
214,0.035379,-0.009543,-0.009662
215,0.035379,0.006231,-0.009662
216,0.035379,0.006231,0.048033
217,0.081313,0.006231,0.07688
218,0.10428,-0.009543,0.091304
219,0.035379,0.022005,0.120151
220,0.035379,0.053554,0.120151
221,0.012412,0.006231,0.091304
222,-0.010555,-0.009543,0.048033
223,-0.033523,-0.025317,0.019185
224,-0.05649,-0.072639,-0.096205
225,-0.102424,-0.072639,-0.182747
226,-0.033523,-0.056865,-0.139476
227,-0.010555,-0.041091,-0.067357
228,-0.033523,0.006231,-0.024086
229,-0.010555,-0.009543,0.048033
230,-0.010555,-0.009543,0.062456
231,-0.010555,0.006231,0.048033
232,-0.033523,0.006231,0.019185
233,-0.033523,-0.025317,-0.052934
234,-0.033523,-0.041091,-0.096205
235,-0.05649,-0.041091,-0.081781
236,-0.033523,-0.025317,-0.052934
237,0.012412,0.006231,0.062456
238,0.058346,0.022005,0.120151
239,0.10428,0.053554,0.148999
240,0.127248,0.053554,0.19227
241,0.127248,0.069328,0.221118
242,0.10428,0.053554,0.134575
243,0.035379,0.022005,0.004761
244,0.012412,-0.025317,-0.125052
245,-0.010555,-0.072639,-0.168324
246,-0.079457,-0.072639,-0.1539
247,-0.033523,-0.056865,-0.139476
248,-0.010555,-0.056865,-0.139476
249,-0.033523,-0.088413,-0.110629
250,-0.102424,-0.072639,-0.096205
251,-0.010555,-0.025317,0.019185
252,0.012412,0.006231,0.091304
253,0.081313,0.03778,0.177846
254,0.127248,0.069328,0.19227
255,0.127248,0.085102,0.19227
256,0.035379,0.03778,0.091304
257,-0.033523,-0.009543,-0.067357
258,-0.102424,-0.056865,-0.125052
259,-0.079457,-0.041091,-0.052934
260,-0.05649,-0.041091,-0.067357
261,-0.033523,-0.009543,0.019185
262,-0.010555,-0.025317,-0.009662
263,0.012412,0.022005,0.07688
264,0.058346,0.006231,0.120151
265,0.012412,0.006231,0.062456
266,0.035379,0.006231,0.062456
267,-0.010555,-0.041091,-0.052934
268,0.012412,-0.072639,-0.096205
269,0.081313,-0.056865,-0.139476
270,0.058346,-0.009543,-0.081781
271,0.058346,0.022005,0.004761
272,0.035379,0.022005,0.120151
273,0.081313,0.03778,0.148999
274,-0.010555,-0.041091,0.019185
275,-0.05649,-0.072639,-0.009662
276,-0.033523,-0.056865,-0.067357
277,-0.05649,-0.088413,-0.1539
278,-0.05649,-0.088413,-0.182747
279,0.058346,-0.041091,-0.139476
280,-0.010555,-0.025317,-0.052934
281,-0.033523,-0.009543,0.004761
282,-0.033523,0.022005,0.07688
283,0.012412,0.03778,0.148999
284,-0.033523,0.03778,0.148999
285,0.012412,0.022005,0.148999
286,0.035379,0.053554,0.148999
287,0.012412,0.022005,0.07688
288,0.035379,-0.025317,-0.024086
289,-0.05649,-0.056865,-0.125052
290,-0.05649,-0.088413,-0.168324
291,0.012412,-0.041091,-0.096205
292,0.035379,0.03778,0.048033
293,0.150215,0.100876,0.221118
294,0.150215,0.085102,0.206694
295,0.058346,-0.009543,-0.052934
296,-0.05649,-0.15151,-0.254866
297,-0.125391,-0.15151,-0.197171
298,-0.102424,-0.119962,-0.197171
299,-0.010555,-0.056865,-0.168324
300,0.012412,-0.009543,-0.024086
301,0.10428,0.069328,0.206694
302,0.150215,0.100876,0.408626
303,0.127248,0.100876,0.293236
304,0.10428,0.069328,0.19227
305,0.058346,-0.009543,0.004761
306,0.035379,-0.088413,-0.254866
307,-0.010555,-0.072639,-0.283714
308,-0.033523,-0.056865,-0.26929
309,-0.079457,-0.072639,-0.110629
310,0.035379,0.006231,0.019185
311,0.035379,0.03778,0.120151
312,0.012412,0.085102,0.120151
313,-0.079457,0.022005,0.07688
314,-0.148358,-0.041091,-0.067357
315,-0.05649,-0.041091,-0.110629
316,-0.079457,-0.072639,-0.125052
317,-0.010555,-0.056865,-0.110629
318,-0.05649,-0.041091,0.062456
319,-0.010555,-0.009543,0.148999
320,0.035379,-0.025317,0.033609
321,0.127248,-0.025317,0.004761
322,0.173182,0.022005,0.048033
323,0.10428,0.022005,0.148999
324,0.10428,-0.009543,0.048033
325,0.10428,0.006231,0.091304
326,0.035379,0.006231,0.148999
327,-0.05649,-0.041091,0.033609
