# Requested Sampling Rate (Hz):,1000
# Actual Sampling Rate (Hz):,999.13
# Requested Duration (s):,5.0
# Actual Duration (s):,5.046
# REST Calibration:,831.4595862068991,832.6049655172403,833.6698965517227
# MAX Calibration:,875.0000,896.0000,903.0000
# Normalization: MVC-based  (x_norm = (x - REST) / (MAX - REST))
sample_idx,EMG1,EMG2,EMG3
0,0.012412,-0.025317,-0.024086
1,-0.033523,-0.009543,0.004761
2,0.012412,-0.009543,0.004761
3,0.058346,-0.009543,0.004761
4,0.012412,0.006231,0.033609
5,0.035379,0.006231,0.004761
6,0.058346,-0.009543,0.019185
7,0.012412,0.006231,0.019185
8,0.012412,0.006231,-0.009662
9,-0.033523,-0.025317,-0.009662
10,-0.010555,-0.009543,-0.009662
11,0.035379,-0.009543,-0.024086
12,-0.010555,-0.009543,-0.009662
13,-0.033523,0.006231,-0.009662
14,-0.05649,-0.025317,0.004761
15,-0.010555,-0.009543,0.019185
16,0.012412,0.006231,0.019185
17,-0.033523,-0.025317,0.004761
18,-0.010555,0.006231,0.019185
19,-0.010555,-0.009543,0.004761
20,-0.010555,0.022005,0.004761
21,0.012412,-0.025317,0.004761
22,-0.033523,-0.009543,0.033609
23,0.035379,-0.009543,0.019185
24,0.012412,-0.009543,0.004761
25,0.012412,-0.009543,-0.009662
26,0.012412,-0.009543,-0.024086
27,-0.033523,-0.025317,-0.024086
28,0.058346,-0.025317,-0.024086
29,0.035379,-0.009543,-0.024086
30,0.012412,-0.025317,-0.024086
31,0.058346,-0.025317,-0.009662
32,0.035379,-0.009543,-0.009662
33,0.035379,-0.025317,0.004761
34,0.012412,-0.009543,0.004761
35,0.012412,-0.009543,0.004761
36,0.035379,-0.025317,-0.009662
37,0.035379,-0.025317,-0.009662
38,-0.010555,-0.009543,-0.024086
39,-0.033523,-0.009543,-0.009662
40,-0.033523,-0.009543,-0.009662
41,0.012412,-0.009543,-0.024086
42,0.012412,-0.009543,-0.024086
43,-0.010555,-0.025317,0.019185
44,-0.010555,-0.009543,0.004761
45,0.058346,0.006231,-0.009662
46,-0.033523,0.006231,-0.009662
47,-0.010555,0.006231,0.004761
48,-0.033523,-0.009543,0.004761
49,0.012412,-0.009543,0.004761
50,-0.010555,-0.009543,0.033609
51,-0.010555,0.053554,0.004761
52,0.012412,0.006231,-0.009662
53,-0.010555,0.006231,-0.009662
54,-0.033523,0.006231,0.004761
55,0.035379,0.006231,-0.009662
56,0.012412,-0.056865,0.004761
57,-0.010555,-0.056865,0.033609
58,0.012412,-0.025317,0.004761
59,0.058346,0.006231,0.004761
60,-0.010555,0.085102,-0.009662
