# Requested Sampling Rate (Hz):,1000
# Actual Sampling Rate (Hz):,998.472
# Requested Duration (s):,5.0
# Actual Duration (s):,5.048
# REST Calibration:,831.5250689655151,832.0950689655182,831.5147931034478
# MAX Calibration:,890.0000,884.0000,885.0000
# Normalization: MVC-based  (x_norm = (x - REST) / (MAX - REST))
sample_idx,EMG1,EMG2,EMG3
0,0.008122,0.017434,0.027769
1,0.008122,-0.001832,0.065162
2,-0.008979,-0.001832,0.027769
3,-0.008979,-0.021098,0.009072
4,-0.008979,0.0367,-0.009625
5,-0.026081,-0.001832,-0.028322
6,0.008122,-0.001832,-0.028322
7,-0.008979,0.0367,-0.028322
8,0.008122,0.017434,-0.009625
9,0.042325,0.017434,-0.009625
10,0.042325,-0.001832,0.009072
11,0.025223,-0.040364,0.027769
12,0.008122,0.017434,0.046465
13,0.008122,0.017434,0.027769
14,0.059426,-0.021098,0.027769
15,0.11073,0.017434,0.009072
16,0.093629,-0.001832,0.027769
17,-0.077385,0.017434,0.009072
18,-0.14579,0.017434,-0.047018
19,-0.008979,-0.021098,-0.009625
20,0.025223,0.017434,0.009072
21,-0.008979,-0.001832,0.027769
22,-0.026081,-0.001832,0.009072
23,-0.008979,0.0367,-0.009625
24,-0.008979,-0.001832,0.009072
25,-0.008979,0.017434,-0.009625
26,-0.008979,0.0367,-0.009625
27,-0.008979,0.017434,-0.028322
28,-0.008979,0.017434,-0.009625
29,0.008122,-0.001832,-0.009625
30,0.008122,-0.001832,0.009072
31,0.025223,-0.021098,0.009072
32,-0.008979,-0.001832,0.027769
33,-0.008979,0.017434,0.009072
34,-0.008979,0.017434,0.027769
35,-0.026081,-0.021098,0.046465
36,-0.008979,-0.001832,0.009072
37,-0.008979,-0.001832,0.046465
38,0.008122,0.0367,0.046465
39,0.008122,0.055966,-0.028322
40,0.008122,0.055966,-0.009625
41,0.008122,-0.001832,-0.009625
42,0.025223,-0.001832,-0.009625
43,-0.008979,-0.021098,0.009072
44,-0.008979,0.0367,0.009072
45,-0.008979,-0.021098,-0.009625
46,0.008122,-0.001832,0.046465
47,0.008122,0.017434,0.046465
48,0.008122,0.017434,0.027769
49,0.059426,0.017434,-0.009625
50,0.059426,-0.021098,0.027769
51,0.059426,-0.001832,0.027769
52,0.059426,-0.021098,-0.009625
53,-0.008979,-0.021098,-0.009625
54,-0.077385,-0.05963,-0.009625
55,-0.162891,-0.021098,0.027769
56,-0.060283,-0.001832,0.046465
57,-0.043182,-0.001832,-0.009625
58,0.008122,-0.001832,-0.009625
59,0.008122,0.0367,-0.028322
60,0.008122,0.0367,-0.009625
61,0.025223,0.0367,-0.009625
62,0.008122,0.0367,0.009072
63,0.025223,-0.001832,0.046465
64,0.025223,-0.001832,0.009072
65,0.025223,-0.001832,0.046465
66,0.008122,0.017434,0.046465
67,0.025223,0.017434,-0.028322
68,0.025223,0.0367,-0.009625
69,-0.008979,0.017434,-0.028322
70,0.008122,0.017434,-0.009625
71,-0.008979,-0.001832,-0.028322
72,0.008122,-0.05963,0.009072
73,0.008122,-0.021098,0.009072
74,-0.008979,-0.001832,0.009072
75,0.008122,0.017434,0.009072
76,0.025223,-0.001832,0.046465
77,0.008122,-0.001832,0.009072
78,0.025223,0.017434,0.009072
79,-0.008979,0.017434,0.009072
80,0.008122,0.017434,0.009072
81,0.008122,0.017434,-0.028322
82,0.025223,-0.040364,0.009072
83,0.008122,-0.001832,0.009072
84,0.025223,0.017434,-0.009625
85,0.025223,0.055966,0.065162
86,-0.026081,-0.001832,0.046465
87,-0.043182,-0.021098,-0.009625
88,-0.026081,-0.021098,0.009072
89,-0.026081,-0.001832,-0.009625
90,-0.043182,0.017434,0.027769
91,-0.008979,0.017434,0.009072
92,0.042325,-0.021098,0.027769
93,0.059426,0.017434,-0.009625
94,0.042325,0.0367,0.009072
95,0.076527,-0.021098,0.009072
96,0.093629,0.017434,-0.009625
97,0.11073,-0.001832,0.009072
98,0.076527,0.017434,0.046465
99,0.11073,0.0367,0.009072
100,0.042325,0.055966,-0.009625
101,-0.14579,-0.001832,0.027769
102,-0.094486,-0.05963,0.009072
103,-0.214196,-0.001832,-0.009625
104,-0.094486,-0.001832,-0.028322
105,-0.008979,0.017434,-0.009625
106,-0.008979,-0.001832,-0.009625
107,-0.008979,-0.021098,-0.009625
108,0.008122,-0.021098,0.009072
109,0.042325,-0.021098,-0.009625
110,0.008122,-0.021098,0.009072
111,-0.026081,-0.040364,0.027769
112,0.008122,-0.001832,0.009072
113,0.008122,0.055966,-0.009625
114,-0.008979,0.075232,-0.009625
115,-0.008979,0.0367,-0.009625
116,-0.008979,-0.021098,0.009072
117,0.008122,-0.021098,-0.009625
118,-0.008979,-0.001832,0.009072
119,0.008122,-0.021098,0.027769
120,0.025223,-0.001832,0.027769
121,0.008122,0.017434,-0.028322
122,-0.008979,0.017434,-0.009625
123,-0.008979,-0.021098,-0.009625
124,0.008122,0.055966,0.027769
125,0.025223,-0.040364,-0.009625
126,-0.008979,-0.001832,0.009072
127,-0.008979,-0.040364,0.046465
128,0.025223,0.017434,0.027769
129,-0.008979,0.017434,0.027769
130,0.025223,-0.001832,0.046465
131,0.076527,-0.001832,-0.028322
132,0.093629,0.017434,-0.009625
133,0.093629,0.0367,-0.028322
134,0.076527,-0.001832,-0.047018
135,0.042325,0.017434,-0.009625
136,-0.060283,-0.001832,0.027769
137,-0.14579,-0.001832,0.046465
138,-0.094486,-0.001832,0.065162
139,-0.060283,-0.021098,0.009072
140,-0.043182,-0.021098,0.009072
141,-0.026081,-0.001832,-0.009625
142,-0.026081,0.017434,0.009072
143,-0.008979,0.017434,-0.047018
144,0.025223,-0.021098,-0.047018
145,0.025223,0.0367,-0.028322
146,0.008122,-0.001832,-0.009625
147,0.042325,0.017434,0.009072
148,0.025223,0.017434,0.009072
149,-0.008979,-0.001832,0.027769
150,0.042325,-0.001832,-0.009625
