# Requested Sampling Rate (Hz):,1000
# Actual Sampling Rate (Hz):,999.196
# Requested Duration (s):,5.0
# Actual Duration (s):,5.049
# REST Calibration:,832.0600347222207,831.6700347222207,832.6898611111126
# MAX Calibration:,886.0000,887.0000,888.0000
# Normalization: MVC-based  (x_norm = (x - REST) / (MAX - REST))
sample_idx,EMG1,EMG2,EMG3
0,-0.001113,0.005964,-0.012473
1,0.017426,0.005964,-0.012473
2,-0.001113,0.005964,-0.012473
3,-0.019652,0.005964,0.023687
4,-0.019652,-0.01211,-0.030552
5,0.017426,0.005964,0.005607
6,-0.001113,0.096331,0.005607
7,-0.001113,-0.01211,0.023687
8,-0.001113,0.005964,0.023687
9,-0.019652,-0.01211,0.041767
10,-0.001113,0.024037,0.041767
11,-0.001113,0.024037,0.041767
12,-0.001113,0.024037,0.041767
13,-0.019652,0.005964,0.005607
14,0.017426,0.024037,0.005607
15,0.017426,0.024037,0.059847
16,-0.001113,0.005964,0.041767
17,-0.001113,-0.030183,0.005607
18,-0.001113,0.005964,-0.012473
19,-0.001113,0.005964,-0.012473
20,-0.019652,-0.01211,-0.030552
21,-0.019652,0.024037,-0.048632
22,-0.001113,0.005964,-0.030552
23,-0.019652,0.005964,-0.030552
24,-0.001113,0.005964,0.005607
25,0.017426,0.005964,0.005607
26,0.035965,0.005964,0.005607
27,-0.019652,0.005964,0.005607
28,-0.019652,0.005964,0.041767
29,-0.019652,0.024037,0.041767
30,-0.019652,0.005964,0.005607
31,-0.019652,-0.01211,-0.012473
32,-0.019652,-0.01211,-0.012473
33,0.035965,0.005964,0.023687
34,0.035965,0.005964,0.005607
35,0.073044,0.005964,-0.048632
36,0.017426,0.005964,-0.048632
37,0.017426,0.005964,-0.012473
38,-0.001113,0.024037,-0.030552
39,-0.001113,0.005964,0.023687
40,-0.019652,0.005964,0.041767
41,-0.001113,0.005964,0.023687
42,0.017426,0.005964,0.041767
43,-0.001113,0.024037,0.059847
44,-0.001113,0.005964,0.041767
45,-0.001113,0.005964,0.005607
46,-0.001113,0.005964,0.005607
47,-0.001113,0.005964,-0.012473
48,-0.001113,-0.01211,-0.030552
49,-0.001113,0.005964,-0.012473
50,0.017426,-0.01211,-0.030552
51,-0.038191,-0.01211,-0.012473
52,0.017426,0.005964,-0.012473
53,-0.001113,0.005964,-0.048632
54,0.017426,0.005964,-0.012473
55,-0.001113,0.005964,-0.012473
56,0.017426,0.005964,0.041767
57,0.017426,0.024037,0.041767
58,-0.001113,-0.030183,0.041767
59,-0.001113,0.005964,0.023687
60,-0.001113,0.005964,0.023687
61,-0.001113,0.005964,0.023687
62,-0.001113,0.005964,0.023687
63,-0.001113,0.005964,0.005607
64,-0.001113,0.005964,0.005607
65,-0.001113,0.005964,0.005607
66,-0.001113,0.005964,0.005607
67,-0.001113,0.005964,-0.012473
68,-0.001113,0.005964,-0.012473
69,-0.001113,0.005964,-0.030552
70,-0.001113,0.005964,-0.012473
71,-0.001113,0.005964,0.023687
72,-0.019652,0.024037,0.023687
73,-0.001113,0.005964,0.023687
74,-0.001113,0.005964,0.041767
75,0.017426,0.005964,0.041767
76,-0.001113,0.024037,0.005607
77,0.017426,0.005964,0.005607
78,0.017426,0.005964,-0.012473
79,-0.019652,-0.01211,-0.030552
80,-0.001113,-0.01211,-0.066712
81,-0.001113,-0.01211,-0.030552
82,0.017426,0.005964,-0.012473
83,-0.001113,0.024037,0.005607
84,-0.001113,0.005964,-0.012473
85,-0.001113,0.005964,0.005607
86,-0.001113,0.005964,0.005607
87,0.017426,0.024037,0.023687
88,0.017426,0.005964,0.041767
89,0.017426,0.04211,0.023687
90,0.017426,0.005964,0.005607
91,-0.001113,0.005964,0.023687
92,-0.001113,0.005964,0.023687
93,-0.001113,0.005964,0.005607
94,-0.019652,0.005964,0.005607
95,-0.001113,-0.01211,0.005607
96,0.017426,0.024037,-0.012473
97,-0.001113,-0.01211,0.005607
98,0.017426,0.005964,-0.012473
99,0.017426,0.005964,-0.048632
100,-0.001113,-0.01211,-0.066712
101,-0.001113,0.005964,-0.030552
102,0.017426,0.005964,0.005607
103,-0.001113,0.024037,0.059847
104,-0.001113,0.024037,0.059847
105,-0.001113,0.005964,0.041767
106,-0.001113,0.005964,0.041767
107,-0.019652,0.005964,0.077927
108,0.017426,0.005964,0.005607
109,-0.019652,-0.01211,-0.012473
110,-0.019652,0.024037,0.005607
111,-0.038191,0.005964,-0.012473
112,-0.038191,-0.01211,-0.012473
113,0.017426,0.005964,-0.030552
114,0.054504,0.005964,-0.048632
115,0.054504,0.005964,-0.012473
116,0.035965,0.005964,-0.012473
117,-0.001113,0.005964,-0.012473
118,0.017426,0.005964,-0.012473
119,-0.001113,0.005964,-0.030552
120,-0.001113,0.005964,-0.030552
121,-0.001113,0.005964,-0.012473
122,0.017426,0.005964,0.005607
123,-0.001113,-0.01211,0.023687
124,0.017426,0.024037,0.041767
125,-0.001113,0.024037,0.041767
126,-0.001113,-0.01211,0.023687
127,-0.001113,0.005964,0.023687
128,-0.019652,0.024037,0.023687
129,0.017426,0.024037,0.005607
130,-0.001113,0.005964,-0.012473
131,-0.001113,0.005964,-0.012473
132,-0.001113,0.005964,0.005607
133,0.017426,0.005964,-0.012473
134,-0.001113,-0.01211,0.005607
135,0.017426,0.005964,-0.012473
136,-0.001113,0.024037,0.023687
137,0.035965,0.005964,0.005607
138,-0.001113,0.005964,0.005607
139,0.017426,0.024037,0.023687
140,0.017426,0.005964,0.023687
141,0.035965,0.005964,0.041767
142,0.017426,0.005964,0.023687
143,-0.019652,0.005964,0.023687
144,0.017426,0.005964,-0.012473
145,-0.019652,0.005964,-0.012473
146,-0.001113,0.005964,-0.012473
147,-0.001113,0.005964,-0.012473
148,-0.001113,-0.01211,-0.012473
149,-0.001113,0.005964,-0.012473
150,-0.001113,0.005964,-0.012473
151,0.017426,0.005964,0.005607
152,-0.019652,0.005964,0.041767
153,0.017426,0.005964,0.023687
154,-0.001113,-0.01211,0.023687
155,-0.001113,0.005964,0.023687
156,0.017426,0.024037,0.041767
157,-0.001113,0.005964,0.005607
158,-0.001113,-0.01211,0.005607
159,-0.001113,0.005964,-0.012473
160,-0.001113,0.005964,0.005607
161,-0.001113,0.005964,-0.012473
162,-0.001113,0.005964,-0.012473
163,-0.001113,0.005964,-0.012473
164,-0.019652,0.024037,0.005607
165,-0.019652,0.005964,0.005607
166,0.017426,0.024037,-0.012473
167,-0.001113,0.024037,0.005607
168,-0.001113,-0.01211,0.023687
169,0.017426,0.024037,0.041767
170,0.017426,0.005964,0.041767
171,-0.019652,0.005964,0.005607
172,-0.001113,0.005964,0.005607
173,-0.001113,0.005964,0.005607
174,0.017426,0.005964,0.005607
175,-0.001113,0.005964,0.005607
176,0.017426,0.005964,-0.030552
177,0.017426,0.005964,-0.030552
178,-0.001113,0.005964,-0.048632
179,-0.001113,-0.01211,-0.012473
180,-0.001113,-0.01211,-0.012473
181,-0.019652,-0.01211,-0.012473
182,0.017426,0.005964,-0.048632
183,-0.019652,0.005964,-0.030552
184,-0.001113,0.005964,0.005607
185,-0.001113,0.024037,0.023687
186,0.017426,0.005964,0.005607
187,-0.019652,-0.01211,0.023687
188,0.017426,0.005964,0.023687
189,-0.001113,0.024037,0.005607
190,-0.038191,0.005964,0.023687
191,-0.019652,0.024037,0.023687
192,-0.038191,0.005964,0.005607
193,-0.019652,0.024037,-0.012473
194,-0.038191,-0.01211,-0.030552
195,0.035965,0.005964,-0.012473
196,0.054504,0.005964,-0.012473
197,0.073044,0.005964,-0.012473
198,0.035965,-0.01211,-0.030552
199,0.017426,0.005964,0.005607
200,0.017426,0.005964,-0.012473
201,-0.001113,0.005964,0.005607
202,-0.001113,-0.01211,0.005607
203,-0.001113,0.005964,0.005607
204,-0.001113,-0.01211,0.023687
205,0.017426,0.024037,0.023687
206,0.035965,0.005964,0.023687
207,-0.019652,0.024037,0.005607
