# Requested Sampling Rate (Hz):,1000
# Actual Sampling Rate (Hz):,998.604
# Requested Duration (s):,5.0
# Actual Duration (s):,5.045
# REST Calibration:,831.9749657534268,832.2800684931498,831.8001369863033
# MAX Calibration:,884.0000,892.0000,887.0000
# Normalization: MVC-based  (x_norm = (x - REST) / (MAX - REST))
sample_idx,EMG1,EMG2,EMG3
0,-0.037962,-0.021435,-0.050727
1,0.000481,-0.00469,-0.050727
2,0.000481,-0.00469,-0.050727
3,-0.01874,-0.00469,-0.032611
4,-0.037962,0.012055,0.021737
5,0.000481,-0.00469,0.003621
6,-0.037962,-0.00469,-0.032611
7,0.000481,0.012055,0.003621
8,0.000481,-0.00469,0.021737
9,0.000481,-0.071669,-0.014495
10,-0.01874,-0.054924,0.003621
11,0.000481,-0.021435,0.003621
12,0.019703,-0.021435,0.021737
13,-0.01874,0.0288,0.021737
14,-0.01874,-0.021435,-0.014495
15,-0.037962,-0.021435,-0.050727
16,-0.01874,0.012055,0.003621
17,-0.037962,-0.00469,-0.032611
18,-0.037962,-0.021435,0.003621
19,-0.01874,-0.00469,0.021737
20,0.000481,0.0288,0.003621
21,0.019703,0.0288,0.003621
22,0.000481,-0.00469,0.021737
23,0.000481,-0.00469,-0.014495
24,0.038924,-0.021435,0.003621
25,0.000481,-0.021435,-0.032611
26,-0.01874,-0.021435,0.003621
27,0.019703,-0.038179,0.039853
28,0.000481,-0.00469,-0.014495
29,-0.01874,0.0288,0.003621
30,0.000481,0.0288,0.003621
31,-0.01874,0.012055,-0.050727
32,-0.01874,0.012055,-0.068843
33,0.000481,-0.00469,-0.014495
34,0.000481,-0.00469,-0.014495
35,-0.037962,0.012055,-0.014495
36,0.000481,-0.00469,0.021737
37,0.019703,-0.021435,0.003621
38,0.019703,-0.00469,0.021737
39,0.000481,-0.021435,0.057969
40,0.000481,-0.021435,0.021737
41,-0.01874,-0.038179,0.021737
42,0.000481,-0.00469,-0.050727
43,-0.037962,0.012055,0.003621
44,-0.037962,0.012055,0.021737
45,-0.076405,-0.00469,0.003621
46,-0.01874,-0.00469,0.003621
47,-0.01874,-0.00469,-0.032611
48,0.000481,0.0288,-0.014495
49,0.038924,0.045545,0.003621
50,0.019703,0.06229,0.021737
51,0.000481,0.045545,0.003621
52,0.000481,0.06229,0.003621
53,0.019703,0.045545,0.021737
54,0.000481,0.0288,0.021737
55,0.019703,-0.00469,0.003621
56,0.019703,0.012055,-0.014495
57,-0.01874,-0.00469,-0.050727
58,-0.01874,-0.038179,-0.050727
59,0.000481,-0.155393,0.039853
60,0.000481,-0.138648,0.021737
61,0.019703,-0.088414,0.003621
62,0.019703,-0.038179,-0.032611
63,-0.01874,-0.00469,-0.032611
64,-0.037962,-0.00469,0.003621
65,0.000481,0.06229,-0.014495
66,-0.01874,0.079034,-0.014495
67,-0.01874,0.146014,0.057969
68,0.019703,0.162759,0.094201
69,0.019703,0.095779,0.057969
70,0.058146,0.0288,0.057969
71,0.019703,-0.00469,0.021737
72,0.000481,0.0288,-0.014495
73,0.000481,-0.00469,-0.014495
74,0.000481,-0.021435,-0.068843
75,0.000481,-0.00469,-0.014495
76,-0.01874,-0.021435,0.039853
77,0.000481,-0.00469,-0.014495
78,0.000481,0.012055,0.003621
