# Requested Sampling Rate (Hz):,1000
# Actual Sampling Rate (Hz):,998.49
# Requested Duration (s):,5.0
# Actual Duration (s):,5.05
# REST Calibration:,830.1050347222211,832.3250694444425,834.079930555557
# MAX Calibration:,888.0000,890.0000,886.0000
# Normalization: MVC-based  (x_norm = (x - REST) / (MAX - REST))
sample_idx,EMG1,EMG2,EMG3
0,-0.019087,0.011702,0.017721
1,0.067276,0.011702,0.017721
2,0.084549,-0.005636,-0.0208
3,0.032731,-0.005636,-0.001539
4,0.015458,0.029041,0.017721
5,-0.019087,-0.005636,-0.0208
6,-0.03636,-0.040313,-0.001539
7,-0.139996,-0.022975,-0.001539
8,-0.10545,-0.022975,-0.0208
9,-0.03636,-0.022975,-0.04006
10,-0.070905,-0.005636,-0.001539
11,-0.070905,0.011702,-0.001539
12,-0.03636,-0.022975,-0.001539
13,-0.019087,-0.040313,-0.001539
14,-0.001814,-0.005636,-0.001539
15,-0.001814,-0.022975,0.017721
16,-0.019087,-0.022975,0.017721
17,-0.019087,-0.005636,0.017721
18,-0.019087,-0.005636,0.036981
19,-0.001814,-0.005636,0.017721
20,0.015458,0.011702,-0.001539
21,0.015458,-0.005636,-0.001539
22,-0.019087,0.011702,-0.0208
23,-0.053632,0.011702,-0.0208
24,-0.019087,-0.005636,-0.001539
25,-0.019087,-0.022975,-0.001539
26,-0.019087,-0.040313,-0.001539
27,-0.001814,-0.040313,-0.0208
28,-0.001814,0.011702,-0.001539
29,-0.019087,-0.005636,-0.001539
30,-0.001814,0.011702,-0.001539
31,-0.001814,-0.005636,0.017721
32,-0.019087,-0.005636,-0.001539
33,-0.019087,-0.040313,-0.0208
34,0.015458,-0.005636,-0.001539
35,-0.019087,0.011702,-0.001539
36,-0.019087,-0.005636,-0.001539
37,-0.03636,-0.022975,-0.04006
38,-0.019087,0.046379,-0.001539
39,-0.019087,0.081057,-0.04006
40,-0.03636,0.029041,-0.04006
41,-0.001814,0.029041,-0.04006
42,-0.001814,0.029041,-0.0208
43,-0.001814,-0.057652,-0.0208
44,-0.019087,-0.040313,-0.04006
45,-0.053632,-0.109668,-0.04006
46,-0.019087,-0.07499,-0.0208
47,-0.001814,-0.057652,-0.0208
48,0.015458,-0.040313,-0.001539
49,0.032731,-0.07499,-0.001539
50,0.015458,-0.040313,-0.001539
51,-0.001814,-0.005636,-0.001539
52,-0.001814,-0.005636,-0.0208
53,-0.019087,0.046379,-0.001539
54,-0.001814,0.029041,-0.0208
55,-0.019087,0.046379,-0.001539
56,0.032731,0.011702,-0.04006
57,0.015458,-0.040313,-0.0208
58,0.050004,-0.022975,-0.001539
59,0.050004,-0.040313,-0.001539
60,-0.053632,-0.005636,-0.001539
61,-0.10545,-0.005636,0.017721
62,-0.122723,0.011702,-0.001539
63,-0.03636,-0.005636,-0.001539
64,-0.070905,0.011702,-0.0208
65,-0.001814,-0.005636,-0.04006
66,-0.001814,-0.022975,-0.04006
67,-0.019087,-0.022975,-0.0208
68,-0.03636,-0.022975,0.017721
69,-0.019087,-0.022975,0.017721
70,-0.001814,-0.005636,-0.001539
71,-0.001814,-0.005636,-0.0208
72,-0.019087,0.029041,-0.001539
73,-0.019087,0.029041,-0.001539
74,-0.03636,-0.005636,-0.001539
75,-0.053632,-0.040313,-0.001539
76,-0.03636,-0.022975,-0.001539
77,-0.03636,-0.057652,0.017721
78,-0.001814,-0.092329,-0.001539
79,-0.03636,-0.022975,-0.0208
80,-0.03636,0.011702,-0.0208
81,-0.019087,0.011702,-0.001539
82,0.015458,0.029041,-0.0208
83,0.050004,-0.005636,-0.0208
84,0.015458,0.011702,-0.001539
85,-0.001814,0.011702,-0.001539
86,-0.03636,-0.005636,-0.0208
87,0.015458,-0.005636,-0.0208
88,-0.001814,-0.022975,-0.04006
89,0.015458,-0.057652,-0.0208
90,-0.019087,-0.07499,-0.0208
91,-0.001814,-0.040313,-0.001539
92,0.032731,-0.005636,-0.0208
93,-0.001814,-0.022975,-0.0208
94,-0.019087,0.029041,-0.001539
95,-0.03636,0.011702,-0.001539
96,0.015458,0.029041,-0.001539
97,-0.03636,-0.005636,-0.001539
98,-0.019087,-0.005636,-0.001539
99,-0.001814,-0.022975,-0.001539
100,-0.019087,-0.040313,-0.001539
101,-0.053632,-0.022975,-0.001539
102,0.015458,-0.022975,-0.001539
103,-0.001814,-0.005636,-0.001539
104,0.015458,0.011702,-0.001539
105,-0.019087,-0.005636,-0.001539
106,-0.070905,0.029041,-0.001539
107,-0.019087,0.046379,0.017721
108,0.032731,0.011702,-0.0208
109,0.050004,-0.022975,-0.001539
110,-0.019087,-0.040313,-0.001539
111,-0.019087,-0.057652,0.017721
112,-0.001814,-0.07499,-0.001539
113,-0.019087,-0.040313,0.036981
114,-0.001814,-0.022975,-0.001539
115,-0.019087,-0.022975,-0.001539
116,-0.001814,-0.005636,-0.001539
117,-0.019087,-0.005636,-0.0208
118,0.067276,-0.005636,0.017721
119,0.067276,0.011702,0.017721
120,0.032731,-0.005636,-0.001539
121,-0.001814,-0.022975,-0.001539
122,-0.03636,-0.040313,-0.0208
123,-0.088178,-0.022975,-0.0208
124,-0.122723,-0.005636,-0.0208
125,-0.001814,-0.022975,-0.001539
126,-0.019087,0.011702,-0.0208
127,-0.03636,-0.005636,-0.0208
128,-0.03636,0.011702,-0.0208
129,-0.001814,-0.005636,-0.001539
130,0.015458,-0.005636,-0.001539
131,-0.019087,-0.040313,-0.001539
132,0.015458,-0.040313,-0.001539
133,-0.001814,-0.022975,0.017721
134,0.015458,0.011702,-0.0208
135,-0.001814,0.011702,-0.001539
136,-0.001814,0.046379,-0.001539
137,-0.019087,0.046379,-0.0208
138,-0.019087,0.046379,-0.0208
139,-0.001814,0.011702,-0.0208
140,-0.001814,-0.022975,0.017721
141,-0.001814,-0.022975,-0.001539
142,-0.001814,-0.040313,-0.001539
143,-0.001814,-0.057652,0.017721
144,-0.019087,-0.022975,-0.001539
145,-0.019087,-0.005636,-0.001539
146,-0.019087,-0.005636,-0.001539
147,-0.001814,0.029041,-0.0208
148,0.015458,0.011702,-0.0208
149,-0.019087,-0.022975,-0.001539
150,-0.001814,-0.005636,-0.001539
151,-0.019087,-0.057652,-0.04006
152,-0.019087,-0.040313,-0.001539
153,-0.03636,-0.022975,0.017721
154,-0.001814,-0.022975,-0.001539
155,-0.019087,-0.040313,-0.001539
156,-0.001814,-0.005636,-0.001539
157,-0.001814,-0.005636,-0.0208
158,-0.019087,-0.022975,-0.001539
159,-0.001814,-0.005636,-0.0208
160,-0.019087,-0.022975,-0.001539
161,-0.019087,-0.040313,-0.0208
162,-0.019087,-0.040313,-0.001539
163,-0.019087,-0.022975,-0.001539
164,-0.03636,-0.022975,0.017721
165,-0.019087,0.081057,0.017721
166,-0.019087,-0.005636,0.017721
167,-0.03636,-0.022975,0.017721
168,-0.053632,0.011702,-0.001539
169,-0.019087,0.029041,-0.001539
170,-0.019087,-0.022975,-0.001539
171,-0.001814,-0.022975,-0.001539
172,-0.001814,0.011702,0.036981
173,-0.001814,0.046379,-0.0208
174,-0.001814,-0.005636,-0.0208
175,-0.001814,-0.022975,-0.04006
176,-0.03636,-0.057652,-0.04006
177,-0.03636,-0.040313,-0.001539
178,-0.001814,-0.07499,-0.0208
179,-0.001814,-0.057652,-0.001539
180,-0.019087,-0.022975,-0.001539
181,-0.03636,0.011702,-0.0208
182,-0.019087,-0.022975,-0.0208
183,0.015458,-0.022975,-0.001539
184,-0.019087,-0.005636,0.017721
185,-0.019087,0.029041,-0.001539
186,0.015458,-0.005636,-0.0208
187,-0.001814,0.011702,-0.0208
188,0.015458,0.011702,-0.001539
